title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/mihirpatil37/app_1_webapp;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/mihirpatil37/app_2_portfolio;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/mihirpatil37/app_3_text_to_pdf;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/mihirpatil37/app_4_invoice_generation;4.png
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://github.com/mihirpatil37/app_5_news_api_email;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/mihirpatil37/app_7_weather_forecast_app;6.png
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://github.com/mihirpatil37/app_10_scrapping_tours_sql;8.png
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://github.com/mihirpatil37/app_9_email_webcam_detection;11.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/mihirpatil37/app_12_student_management_service;17.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/mihirpatil37/app_16_restaurant_menu_app;19.png
